,word,base_word
0,role,role
1,independent,independent
2,od,od
3,hr,human resources
4,consultant,consult
5,group,group
6,facilitator,facilitator
7,flow,flow
8,game,game
9,host,host
10,lead,lead
11,data,data
12,scientist,science
13,professor,professor
14,it,information technology
15,recruiter,recruitment
16,recruitment,recruit
17,manager,manage
18,iot,iot
19,de,data engineer
20,head,head
21,tcs,tcs
22,latam,latam
23,senior,senior
24,director,director
25,of,of
26,product,product
27,management,manage
28,vice,vice
29,president,president
30,sr,senior
31,solutions,solutions
32,portfolio,portfolio
33,program,program
34,business,business
35,transformation,transformation
36,at,at
37,mundra,mundra
38,port,port
39,sez,sez
40,vp,vice president
41,sales,sales
42,associate,associate
43,partner,partner
44,global,global
45,solution,solution
46,architect,architecture
47,bi,business intelligence
48,etl,extract transform load
49,cofounder,cofounder
50,engineering,engineering
51,chief,chief
52,digital,digital
53,officer,officer
54,assistant,assistant
55,technology,technology
56,avp,assistant vice president
57,industrial,industrial
58,operations,operation
59,manufacturing,manufacturing
60,cmo,chief marketing officer
61,ai,artificial intelligence
62,principal,principal
63,software,software
64,engineer,engineer
65,leader,leader
66,smart,smart
67,consulting,consultant
68,technical,technical
69,process,process
70,tools,tools
71,tech,tech
72,sap,sap
73,founder,founder
74,advisor,advisor
75,practice,practice
76,enterprise,enterprise
77,ceo,chief executive officer
78,talent,talent
79,learning,learning
80,leadership,leadership
81,coes,coes
82,dei,dei
83,developer,developer
84,mentor,mentor
85,ion,ion
86,gamelab,gamelab
87,distinguished,distinguished
88,bigdata,bigdata
89,hadoop,hadoop
90,administrator,admin
91,devsecops,devsecops
92,ml,machine learning
93,ops,operations
94,professional,professional
95,tlis,tlis
96,chairman,chairman
97,managing,manage
98,researcher,researcher
99,staff,staff
100,executive,executive
101,coach,coach
102,engager,engager
103,security,security
104,cto,chief technology officer
105,developmental,developmental
106,worker,worker
107,sustainability,sustainability
108,integrator,integrator
109,large,large
110,deals,deals
111,commercial,commercial
112,project,project
113,cw,cw
114,self,self
115,employed,employed
116,cognizant,cognizant
117,industry,industry
118,delivery,delivery
119,office,office
120,council,council
121,member,member
122,zonal,zonal
123,planner,planner
124,buyer,buyer
125,analyst,analysis
126,projects,projects
127,randd,randd
128,controls,controls
129,optimization,optimization
130,electrical,electrical
131,technologies,technologies
132,employee,employee
133,experience,experience
134,people,people
135,strategy,strategy
136,devops,development operations
137,acquisition,acquisition
138,north,north
139,america,america
140,specialist,specialist
141,relationship,relationship
142,coe,coe
143,dynamics,dynamics
144,,
145,customer,customer
146,engagement,engagement
147,salesforce,salesforce
148,quality,quality
149,name,name
150,india,india
151,leadclient,leadclient
152,services,services
